ID,구분1,구분2,국명,point,구동여부,
S001,산림청,특산식물,제주고사리삼,0,0,
S002,산림청,특산식물,구상나무,14,1,
S003,산림청,특산식물,삼도하수오,7,1,
S004,산림청,특산식물,울릉장구채,4,0,
S005,산림청,특산식물,세뿔투구꽃,25,1,
S006,산림청,특산식물,진범,90,1,
S007,산림청,특산식물,홀아비바람꽃,63,1,
S008,산림청,특산식물,나제승마,No data,0,
S009,산림청,특산식물,외대으아리,91,1,
S010,산림청,특산식물,요강나물,23,1,
S011,산림청,특산식물,할미밀망,279,1,
S012,산림청,특산식물,변산바람꽃,17,1,
S013,산림청,특산식물,새끼노루귀,95,1,
S014,산림청,특산식물,섬노루귀,12,1,
S015,산림청,특산식물,모데미풀,11,1,
S016,산림청,특산식물,바위미나리아재비,6,0,
S017,산림청,특산식물,금꿩의다리,26,1,
S018,산림청,특산식물,매자나무,46,1,
S019,산림청,특산식물,섬매발톱나무,4,0,
S020,산림청,특산식물,개족도리풀,85,1,
S021,산림청,특산식물,무늬족도리풀,36,1,
S022,산림청,특산식물,매미꽃,67,1,
S023,산림청,특산식물,섬현호색,5,0,
S024,산림청,특산식물,갈퀴현호색,16,1,
S025,산림청,특산식물,점현호색,50,1,
S026,산림청,특산식물,남도현호색,9,1,
S027,산림청,특산식물,섬장대,21,1,
S028,산림청,특산식물,벌깨냉이,15,1,
S029,산림청,특산식물,속리기린초,7,1,
S030,산림청,특산식물,누른괭이눈,3,0,
S031,산림청,특산식물,꼬리말발도리,10,1,
S032,산림청,특산식물,나도승마,2,0,
S033,산림청,특산식물,구실바위취,24,1,
S034,산림청,특산식물,한라개승마,5,0,
S035,산림청,특산식물,지리터리풀,7,1,
S036,산림청,특산식물,섬벚나무,8,1,
S037,산림청,특산식물,섬나무딸기,9,1,
S038,산림청,특산식물,떡조팝나무,3,0,
S039,산림청,특산식물,개느삼,10,1,
S040,산림청,특산식물,좀땅비싸리,15,1,
S041,산림청,특산식물,해변싸리,84,1,
S042,산림청,특산식물,솔비나무,10,1,
S043,산림청,특산식물,노랑갈퀴,175,1,
S044,산림청,특산식물,나래완두,13,1,
S045,산림청,특산식물,큰세잎쥐손이,9,1,
S046,산림청,특산식물,두메대극,5,0,
S047,산림청,특산식물,처진물봉선,2,0,
S048,산림청,특산식물,좀갈매나무,1,0,
S049,산림청,특산식물,섬피나무,48,1,
S050,산림청,특산식물,섬시호,1,0,
S051,산림청,특산식물,섬바디,14,1,
S052,산림청,특산식물,한라참나물,2,0,
S053,산림청,특산식물,금강봄맞이,2,0,
S054,산림청,특산식물,참좁쌀풀,45,1,
S055,산림청,특산식물,설앵초,7,1,
S056,산림청,특산식물,미선나무,4,0,
S057,산림청,특산식물,만리화,5,0,
S058,산림청,특산식물,산개나리,8,1,
S059,산림청,특산식물,섬쥐똥나무,17,1,
S060,산림청,특산식물,섬개회나무,2,0,
S061,산림청,특산식물,흰그늘용담,1,0,
S062,산림청,특산식물,고산구슬붕이,1,0,
S063,산림청,특산식물,자란초,45,1,
S064,산림청,특산식물,섬광대수염,3,0,
S065,산림청,특산식물,참배암차즈기,66,1,
S066,산림청,특산식물,광릉골무꽃,50,1,
S067,산림청,특산식물,애기송이풀,8,1,
S068,산림청,특산식물,토현삼,49,1,
S069,산림청,특산식물,섬현삼,3,0,
S070,산림청,특산식물,섬꼬리풀,13,1,
S071,산림청,특산식물,봉래꼬리풀,3,0,
S072,산림청,특산식물,줄댕강나무,28,1,
S073,산림청,특산식물,청괴불나무,138,1,
S074,산림청,특산식물,넓은잎쥐오줌풀,11,1,
S075,산림청,특산식물,섬초롱꽃,15,1,
S076,산림청,특산식물,금강초롱꽃,44,1,
S077,산림청,특산식물,섬쑥,1,0,
S078,산림청,특산식물,눈개쑥부쟁이,3,0,
S079,산림청,특산식물,바늘엉겅퀴,9,1,
S080,산림청,특산식물,고려엉겅퀴,239,1,
S081,산림청,특산식물,지리고들빼기,20,1,
S082,산림청,특산식물,한라구절초,1,0,
S083,산림청,특산식물,갯취,18,1,
S084,산림청,특산식물,어리병풍,5,0,
S085,산림청,특산식물,자병취,6,0,
S086,산림청,특산식물,각시서덜취,74,1,
S087,산림청,특산식물,그늘취,6,0,
S088,산림청,특산식물,돌부추,No data,0,
S089,산림청,특산식물,선부추,No data,0,
S090,산림청,특산식물,좀비비추,61,1,
S091,산림청,특산식물,흑산도비비추,1,0,
S092,산림청,특산식물,자주솜대,20,1,
S093,산림청,특산식물,진노랑상사화,3,0,
S094,산림청,특산식물,붉노랑상사화,4,0,
S095,산림청,특산식물,위도상사화,3,0,
S096,산림청,특산식물,노랑붓꽃,13,1,
S097,산림청,특산식물,섬포아풀,14,1,
S098,산림청,특산식물,제주조릿대,33,1,
S099,산림청,특산식물,섬남성,14,1,
S100,산림청,특산식물,지리대사초,40,1,
S101,산림청,북방계식물,속새,64,1,
S102,산림청,북방계식물,음양고비,6,0,
S103,산림청,북방계식물,주저리고사리,11,1,
S104,산림청,북방계식물,좀미역고사리,3,0,
S105,산림청,북방계식물,전나무,66,1,
S106,산림청,북방계식물,분비나무,21,1,
S107,산림청,북방계식물,가문비나무,5,0,
S108,산림청,북방계식물,눈측백,11,1,
S109,산림청,북방계식물,설악눈주목,2,0,
S110,산림청,북방계식물,왜개싱아,6,0,
S111,산림청,북방계식물,제비동자꽃,1,0,
S112,산림청,북방계식물,긴개별꽃,8,1,
S113,산림청,북방계식물,끈끈이장구채,18,1,
S114,산림청,북방계식물,백부자,24,1,
S115,산림청,북방계식물,노랑투구꽃,5,0,
S116,산림청,북방계식물,들바람꽃,10,1,
S117,산림청,북방계식물,회리바람꽃,157,1,
S118,산림청,북방계식물,숲바람꽃,5,0,
S119,산림청,북방계식물,검종덩굴,5,0,
S120,산림청,북방계식물,개버무리,21,1,
S121,산림청,북방계식물,큰제비고깔,19,1,
S122,산림청,북방계식물,너도바람꽃,98,1,
S123,산림청,북방계식물,왜미나리아재비,4,0,
S124,산림청,북방계식물,연잎꿩의다리,10,1,
S125,산림청,북방계식물,삼지구엽초,42,1,
